location,name,freq,weighting,n_factors,date,ret
usa,momentum,monthly,vw_cap,1,1926-04-30,-0.00932504384272321
usa,momentum,monthly,vw_cap,1,1926-05-31,0.0184112174078378
usa,momentum,monthly,vw_cap,2,1926-06-30,-0.0354253942282815
usa,momentum,monthly,vw_cap,3,1926-07-31,-0.012577094403215
usa,momentum,monthly,vw_cap,3,1926-08-31,0.018323588985855
usa,momentum,monthly,vw_cap,3,1926-09-30,0.0295210084120065
usa,momentum,monthly,vw_cap,4,1926-10-31,0.0155388405106078
usa,momentum,monthly,vw_cap,4,1926-11-30,0.0102984930283274
usa,momentum,monthly,vw_cap,4,1926-12-31,-0.00973844396154794
usa,momentum,monthly,vw_cap,6,1927-01-31,0.0116160017695902
usa,momentum,monthly,vw_cap,6,1927-02-28,-0.00210519413483067
usa,momentum,monthly,vw_cap,6,1927-03-31,0.0340232421963277
usa,momentum,monthly,vw_cap,6,1927-04-30,0.0275674451329887
usa,momentum,monthly,vw_cap,6,1927-05-31,0.0369401546261898
usa,momentum,monthly,vw_cap,6,1927-06-30,0.0162100775498
usa,momentum,monthly,vw_cap,6,1927-07-31,0.0175526059785543
usa,momentum,monthly,vw_cap,6,1927-08-31,-0.00464006033450828
usa,momentum,monthly,vw_cap,6,1927-09-30,0.0287899681478992
usa,momentum,monthly,vw_cap,6,1927-10-31,0.000732778782839591
usa,momentum,monthly,vw_cap,6,1927-11-30,0.00429158907099751
usa,momentum,monthly,vw_cap,6,1927-12-31,0.0137025934640716
usa,momentum,monthly,vw_cap,6,1928-01-31,0.0120232313544508
usa,momentum,monthly,vw_cap,6,1928-02-29,-0.0060079988606014
usa,momentum,monthly,vw_cap,6,1928-03-31,0.0303010114528628
usa,momentum,monthly,vw_cap,6,1928-04-30,-0.0103851573310158
usa,momentum,monthly,vw_cap,6,1928-05-31,0.0272486074503248
usa,momentum,monthly,vw_cap,6,1928-06-30,0.00152208250879442
usa,momentum,monthly,vw_cap,6,1928-07-31,0.0143409158530721
usa,momentum,monthly,vw_cap,6,1928-08-31,0.0406092326965401
usa,momentum,monthly,vw_cap,6,1928-09-30,0.0221841219611572
usa,momentum,monthly,vw_cap,6,1928-10-31,0.0387810489022446
usa,momentum,monthly,vw_cap,6,1928-11-30,0.0486629360416187
usa,momentum,monthly,vw_cap,6,1928-12-31,0.0268818721854745
usa,momentum,monthly,vw_cap,6,1929-01-31,0.0269071939017951
usa,momentum,monthly,vw_cap,6,1929-02-28,0.0195617672997107
usa,momentum,monthly,vw_cap,6,1929-03-31,-0.017388436452296
usa,momentum,monthly,vw_cap,6,1929-04-30,0.0233843662069006
usa,momentum,monthly,vw_cap,6,1929-05-31,0.0102434245790979
usa,momentum,monthly,vw_cap,6,1929-06-30,0.060406379279351
usa,momentum,monthly,vw_cap,6,1929-07-31,0.0353725470386516
usa,momentum,monthly,vw_cap,6,1929-08-31,0.0618258615782767
usa,momentum,monthly,vw_cap,6,1929-09-30,0.0212867747799376
usa,momentum,monthly,vw_cap,6,1929-10-31,0.0185009485419428
usa,momentum,monthly,vw_cap,6,1929-11-30,0.0102182533078059
usa,momentum,monthly,vw_cap,6,1929-12-31,0.0121414581545547
usa,momentum,monthly,vw_cap,6,1930-01-31,-0.0550649880429101
usa,momentum,monthly,vw_cap,6,1930-02-28,-0.0103733445460661
usa,momentum,monthly,vw_cap,6,1930-03-31,-0.0266763823686294
usa,momentum,monthly,vw_cap,6,1930-04-30,0.0240680136818577
usa,momentum,monthly,vw_cap,6,1930-05-31,-0.000941664327295654
usa,momentum,monthly,vw_cap,6,1930-06-30,0.0367420019698205
usa,momentum,monthly,vw_cap,6,1930-07-31,-0.017378605257102
usa,momentum,monthly,vw_cap,6,1930-08-31,0.0317368039279408
usa,momentum,monthly,vw_cap,6,1930-09-30,0.0711280305622471
usa,momentum,monthly,vw_cap,6,1930-10-31,0.0530884804650457
usa,momentum,monthly,vw_cap,6,1930-11-30,-0.00602044132026778
usa,momentum,monthly,vw_cap,6,1930-12-31,0.094724937658465
usa,momentum,monthly,vw_cap,6,1931-01-31,-0.084809263957333
usa,momentum,monthly,vw_cap,6,1931-02-28,-0.125972891817664
usa,momentum,monthly,vw_cap,6,1931-03-31,0.0840738231449691
usa,momentum,monthly,vw_cap,6,1931-04-30,0.057990498750259
usa,momentum,monthly,vw_cap,6,1931-05-31,0.0514676277860042
usa,momentum,monthly,vw_cap,6,1931-06-30,-0.153366140918267
usa,momentum,monthly,vw_cap,6,1931-07-31,0.0830583537906972
