,Australia,Austria,Belgium,Canada,China Hong Kong,Czech Republic,Denmark,Euro Area,Finland,France,Germany,Greece,Hungary,India,Indonesia,Ireland,Italy,Japan,Kuwait,Malaysia,Mexico,Netherlands,New Zealand,Norway,Philippines,Poland,Portugal,Saudi Arabia,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,Taiwan,Thailand,Turkey,United Arab Emirates,United Kingdom,
11/30/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014843624526403
12/30/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00847529750856005
1/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0305979054351782
2/29/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0464498471482474
3/30/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00065925574011807
4/30/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0306100060587357
5/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00899238136551542
6/29/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0220295081138334
7/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0459426158461916
8/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0112150155746518
9/28/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0477415523470439
10/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00192451738273803
11/30/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0131586807147712
12/31/1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0171984338414777
1/31/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00938043876107704
2/28/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0477144646710163
3/29/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0565052001917334
4/30/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100596361454787
5/31/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00894517036182712
6/28/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0122237639849598
7/31/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0452141996453413
8/30/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00699219190406184
9/30/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0382310537413664
10/31/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0168977634630325
11/29/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0188144620439518
12/31/1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00182762279621562
