Dates,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5,Portfolio6,,,RX = Mean,HML = P6 - P1
11/30/1983,-0.0120945319740501,-0.0273992945981066,-0.0273886405033946,0.00447889750215325,-0.0242833668066461,-0.0169053126638562,,,-1.73%,-0.48%
12/30/1983,-0.012907671107028,-0.0179591836734693,-0.0141046831955923,-0.000604229607250817,-0.0122532334921714,-0.00899833854436541,,,-1.11%,0.39%
1/31/1984,-0.0371783496007099,-0.0388325413149869,-0.0170820021299254,-0.0399180844360427,-0.0368203716448728,-0.0255989492844466,,,-3.26%,1.16%
2/29/1984,0.0374306839186691,0.0822260735605622,0.0779481935923654,0.00257069408740351,-0.00160523950173364,0.0737812998388664,,,4.54%,3.64%
3/30/1984,0.00237099023709897,-0.00227667374107643,0.0363028953229398,-0.00678009466547269,-0.0334360761190029,-0.00241765575401148,,,-0.10%,-0.48%
4/30/1984,-0.0465820529948786,-0.0521691176470589,-0.0151167915381225,-0.00338961371194679,-0.0488163265306122,-0.0339351565215763,,,-3.33%,1.26%
5/31/1984,-0.012212389380531,-0.00987744649716482,-0.011195846178809,-0.0251241096481761,-0.0106474203229954,-0.00651755813574564,,,-1.26%,0.57%
6/29/1984,-0.0349356223175965,-0.0223580158159596,-0.0223249880401849,-0.0294736842105263,-0.0232658647266442,-0.0202058834839132,,,-2.54%,1.47%
7/31/1984,-0.0573753814852492,-0.0489767841788478,-0.0517110266159696,-0.0372604973501836,-0.039394384830222,-0.0575735411276692,,,-4.87%,-0.02%
8/31/1984,0.0160847880299251,0.000519210799584613,0.0101440874461742,0.00414619164619157,0.00291995877705253,0.0122643696875564,,,0.77%,-0.38%
9/28/1984,-0.0478520286396182,-0.062969004893964,-0.062547033285094,-0.0268016194331984,-0.0586890243902438,-0.0419701695165344,,,-5.01%,0.59%
10/31/1984,0.00661322645290596,0.00435356200527726,-0.00211425086399675,0.00356933879461674,0.00429876410531982,-0.0259559844344944,,,-0.15%,-3.26%
11/30/1984,-0.0235617514235225,-0.0249959631842402,-0.0254722381224957,-0.00961810466760971,-0.00242687444118028,-0.00686737758163958,,,-1.55%,1.67%
12/31/1984,-0.0226923076923078,-0.0217415730337078,-0.0211227402473834,-0.019268970997219,-6.39304436773625E-05,-0.0288972590037907,,,-1.90%,-0.62%
1/31/1985,-0.00917312946454507,-0.0145610667778124,-0.00689498886991609,-0.00399891522525793,-0.0202296221241271,-0.00412665814806294,,,-0.98%,0.50%
2/28/1985,-0.0577440128836027,-0.0341431696424893,-0.0376475863969961,-0.0424043388363197,-0.0696176196521429,-0.0400214002068553,,,-4.69%,1.77%
3/29/1985,0.0740790304995791,0.0423624541580959,0.0401689350431385,0.0525582752416407,0.0478738314084319,0.0744032607312525,,,5.52%,0.03%
4/30/1985,-0.00382998871647333,-0.00829394404551076,-0.00506517575678371,0.0041353237431746,-0.0291414196278213,-0.0122194788014856,,,-0.91%,-0.84%
5/31/1985,0.00833803192076754,0.00404118652868476,0.00546359945249642,0.00979476887838911,0.02377823218472,0.00749459806833452,,,0.98%,-0.08%
6/28/1985,0.00798284573070303,0.00575748687656878,0.0132140637399808,0.00758545818705692,0.0124495648899929,0.0364774102881632,,,1.39%,2.85%
7/31/1985,0.0657979497622148,0.0423016595983217,0.0285357422808898,0.0760749301649869,0.0650395735378122,0.0145015050102415,,,4.87%,-5.13%
8/30/1985,-0.00648898111842744,-0.0176035888579754,-0.00964879081576001,-0.00400902539159827,-0.00990343157772944,-0.0219890643457716,,,-1.16%,-1.55%
9/30/1985,0.0529569149615305,0.0244002040662469,0.0720505840110539,0.0214910400580304,0.0305463234000322,0.0296510355359046,,,3.85%,-2.33%
10/31/1985,0.0117479957304425,0.0140212012250322,0.00323144807273945,0.0171557652076386,0.0213294424701615,0.0334727146519363,,,1.68%,2.17%
11/29/1985,0.0223523507969093,0.023218088384043,0.0235230502320373,0.0333201953261644,0.0230093073036224,-0.00635031542287382,,,1.98%,-2.87%
12/31/1985,0.0170653157487997,0.00973227840185142,0.00915944998042795,0.0137594562440498,-0.0034560210714271,-0.0315057502615339,,,0.25%,-4.86%
1/31/1986,0.0192048658109859,0.00527039096102847,-0.00873292299462525,0.00652927131933556,0.052710160378792,0.0537923269388648,,,2.15%,3.46%
2/28/1986,0.0705263867383531,0.018764753981832,0.0224481741286856,0.0902034922464202,0.0275334686933728,0.0441879896025144,,,4.56%,-2.63%
3/31/1986,-0.0385327931224302,-0.00419045003637623,-0.04080526320935,-0.0168705084688208,-0.0168016581393272,0.00553804495512152,,,-1.86%,4.41%
4/30/1986,0.0721936780310545,0.0206723733290533,0.0423619077258203,0.0492641039600367,0.03081332593172,0.0726412720023214,,,4.80%,0.04%
5/30/1986,-0.0573625451722227,-0.0530453299583416,-0.0464566480780008,-0.0317159755285967,-0.0996525181151999,-0.0223721187097047,,,-5.18%,3.50%
6/30/1986,0.0644361182116469,0.0248323170827479,0.0504506534975472,-0.00559301214386276,0.0350856772941821,-0.00877662108883,,,2.67%,-7.32%
7/31/1986,0.0599007508333276,0.0174327167054896,0.00651766297494183,0.0048426388196301,0.0264849290125735,-0.0466856847291194,,,1.14%,-10.66%
8/29/1986,0.0139813490191324,0.0113698612117192,0.0113803869348399,0.0123130321160707,0.0133956396053171,-0.0037170351159409,,,0.98%,-1.77%
